code_commune,nom_commune,num_bdv,ins,vot,exp,part,l24t1_left,l24t1_ctr,l24t1_rgt,l24t1_far,key,l24t2_left,l24t2_far,l22t1_left,l22t1_ctr,l22t1_rgt,l22t1_far,pr_left,pr_macron,pr_lepen,pr_pec,pr_zem,pr_other,l17t1_left,l17t1_ctr,l17t1_rgt,l17t1_far,p17_left,p17_macron,p17_fillon,p17_lepen,p22t2_macron,p22t2_lepen,eu_left_t,eu_ctr_t,eu_lr_t,eu_rn_t,eu_lfi,eu_lug,eu_vec,eu_com,eu_total_left,lfi_ratio,psg_ratio,nfp,ens,lr,rn,lfi,psg,delta_rn
95026,Asnières-sur-Oise,1,858,613,597,71.45,25.29,25.46,5.7,40.54,95026_1,47.56,52.44,30.21,29.27,5.15,31.62,29.41,26.7,22.47,4.68,12.52,4.22,21.21,41.32,17.63,17.63,27.01,22.51,18.49,22.67,53.7,46.3,27.37,15.37,3.16,44.63,7.58,12.42,4.63,1.89,26.52,0.28582202111613875,0.7141779788838613,25.29,25.46,5.7,40.54,7.228438914027149,18.06156108597285,8.919999999999998
95026,Asnières-sur-Oise,2,673,517,505,76.82,25.94,22.77,5.35,42.38,95026_2,45.63,54.37,30.18,24.67,8.4,33.33,28.93,25.5,25.5,4.7,10.13,5.24,23.81,33.05,22.13,18.21,26.52,18.23,21.18,23.2,52.9,47.1,27.16,13.96,6.85,44.42,9.39,9.64,4.57,3.3,26.900000000000002,0.3490706319702602,0.6509293680297398,25.94,22.77,5.35,42.38,9.05489219330855,16.88510780669145,9.050000000000004
95026,Asnières-sur-Oise,3,599,430,419,71.79,25.06,20.76,3.82,47.02,95026_3,41.71,58.29,29.47,23.51,2.98,41.72,25.45,18.64,41.28,3.61,6.21,4.81,18.93,27.14,24.29,28.93,20.67,19.78,13.71,35.73,40.62,59.38,24.62,10.21,5.41,52.85,9.91,6.31,3.9,3.6,23.72,0.41779089376053963,0.5822091062394603,25.06,20.76,3.82,47.02,10.469839797639123,14.590160202360876,5.300000000000004
95042,Baillet-en-France,1,1546,1065,1028,68.89,26.95,26.65,5.54,38.52,95042_1,50.87,49.13,32.25,29.01,6.62,30.42,27.67,28.72,24.61,4.73,9.28,4.99,21.4,33.38,28.4,15.34,24.54,23.58,19.17,23.74,56.75,43.25,32.08,13.12,7.29,40.1,11.54,11.79,5.22,2.92,31.47,0.3666984429615507,0.6333015570384493,26.95,26.65,5.54,38.52,9.88252303781379,17.067476962186205,8.100000000000001
95056,Belloy-en-France,1,1404,967,942,68.87,24.63,20.17,5.31,46.6,95056_1,39.49,60.51,27.87,29.34,4.1,36.89,26.4,24.6,30.96,4.37,9.5,4.18,17.69,32.7,25.43,22.43,24.35,19.06,20.21,26.95,50.21,49.79,24.9,10.83,6.63,49.26,9.88,8.25,2.57,3.52,24.220000000000002,0.4079273327828241,0.5920726672171759,24.63,20.17,5.31,46.6,10.047250206440957,14.582749793559042,9.71
95127,Cergy,18,766,548,539,71.54,44.9,28.2,4.08,20.59,95127_18,72.09,27.91,41.58,30.87,10.97,14.54,39.93,30.89,12.29,5.46,7.0,4.44,30.59,35.14,24.51,8.46,32.5,27.81,23.91,10.47,74.38,25.62,47.2,17.67,5.6,22.63,20.91,17.46,7.54,0.86,46.77,0.4470814624759461,0.552918537524054,44.9,28.2,4.08,20.59,20.073957665169978,24.82604233483002,6.050000000000001
95127,Cergy,19,814,609,602,74.82,34.22,33.06,7.81,22.76,95127_19,66.53,33.47,35.18,35.38,11.46,15.42,37.19,30.52,13.35,5.86,9.54,3.54,23.28,47.4,20.37,7.69,29.9,32.29,22.99,10.18,75.0,25.0,39.04,20.46,8.98,25.47,13.36,17.12,5.85,1.25,37.58,0.3555082490686535,0.6444917509313465,34.22,33.06,7.81,22.76,12.165492283129323,22.054507716870674,7.340000000000002
95127,Cergy,20,1034,712,700,68.86,49.43,24.0,5.71,19.57,95127_20,73.87,26.13,39.27,34.63,8.05,16.59,37.46,31.27,14.09,6.87,7.22,3.09,25.79,40.72,20.36,9.95,28.62,27.97,23.15,14.47,74.63,25.37,49.57,12.7,8.87,23.48,22.61,18.61,5.22,1.57,48.01,0.4709435534263695,0.5290564465736305,49.43,24.0,5.71,19.57,23.278739845865445,26.151260154134555,2.9800000000000004
95127,Cergy,21,1021,635,615,62.19,61.95,14.15,4.72,17.72,95127_21,81.98,18.02,56.46,18.38,5.47,17.07,59.24,19.03,10.16,4.11,4.76,2.7,42.36,32.18,10.18,11.0,47.19,23.87,10.45,13.09,75.26,24.74,59.65,7.77,2.76,22.06,39.6,12.78,4.26,1.0,57.64,0.6870229007633588,0.3129770992366412,61.95,14.15,4.72,17.72,42.56106870229008,19.388931297709924,0.6499999999999986
95127,Cergy,22,658,411,403,62.46,66.25,13.9,4.22,13.4,95127_22,85.06,14.94,46.26,29.52,4.41,17.62,47.83,28.6,10.76,3.2,6.64,2.97,31.52,43.58,15.95,8.17,37.53,33.19,12.58,11.06,77.49,22.51,66.31,10.64,3.9,15.96,45.04,9.93,6.38,2.13,63.480000000000004,0.7095148078134845,0.2904851921865155,66.25,13.9,4.22,13.4,47.00535601764335,19.24464398235665,-4.220000000000001
