scrutin,code_circ,n_bdv,inscrits,votants,exprimes,participation,left,ctr,rgt,far,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other,eu_left,eu_ctr,eu_lr,eu_rn,pr2_macron,pr2_lepen
leg17t1,01,1,72,54,52,75.0,34.62,13.46,38.46,13.46,,,,,,,,,,,,
leg17t1,1,131,81475,39165,38400,48.07,25.05,35.96,19.6,17.37,,,,,,,,,,,,
leg17t1,10,66,66540,28637,27995,43.04,32.81,36.72,12.18,10.37,,,,,,,,,,,,
leg17t1,2,80,76534,37013,36443,48.36,24.74,35.46,24.45,13.2,,,,,,,,,,,,
leg17t1,3,102,91580,43308,42613,47.29,25.01,40.14,16.73,12.85,,,,,,,,,,,,
leg17t1,4,73,76060,36015,35436,47.35,23.2,43.15,17.01,12.12,,,,,,,,,,,,
leg17t1,5,67,68483,27231,26632,39.76,42.95,29.95,14.1,9.88,,,,,,,,,,,,
leg17t1,6,73,76435,34936,34405,45.71,22.43,40.39,23.61,9.92,,,,,,,,,,,,
leg17t1,7,69,69588,30440,29951,43.74,27.55,35.98,24.26,10.51,,,,,,,,,,,,
leg17t1,8,53,54551,17505,16871,32.09,57.24,10.93,0.0,11.52,,,,,,,,,,,,
leg17t1,9,85,69985,26828,26164,38.33,29.58,31.84,16.29,18.62,,,,,,,,,,,,
pr17t1,01,1,72,69,69,95.83,,,,,24.64,11.59,28.99,20.29,0.0,14.49,,,,,,
pr17t1,1,131,81461,66254,64626,81.33,,,,,27.99,23.19,19.1,22.16,0.0,7.55,,,,,,
pr17t1,10,66,66456,51010,49648,76.76,,,,,37.09,27.61,13.62,15.14,0.0,6.53,,,,,,
pr17t1,2,80,76435,61294,59788,80.19,,,,,29.06,25.23,19.05,18.81,0.0,7.85,,,,,,
pr17t1,3,102,91564,72707,71023,79.41,,,,,28.9,26.52,19.02,17.91,0.0,7.65,,,,,,
pr17t1,4,73,76024,59445,58119,78.19,,,,,28.97,28.16,20.61,14.91,0.0,7.36,,,,,,
pr17t1,5,67,68513,50559,49262,73.79,,,,,43.16,23.97,12.05,15.09,0.0,5.73,,,,,,
pr17t1,6,73,76338,58615,57439,76.78,,,,,29.37,28.23,23.1,13.33,0.0,5.97,,,,,,
pr17t1,7,69,69534,53831,51575,77.42,,,,,28.95,25.09,24.68,15.13,0.0,6.14,,,,,,
pr17t1,8,53,54205,37439,36330,69.07,,,,,42.58,21.9,15.41,14.84,0.0,5.28,,,,,,
pr17t1,9,85,69895,51714,50259,73.99,,,,,33.54,21.58,15.12,22.66,0.0,7.1,,,,,,
leg24t1,,19,14764,9131,8803,61.85,49.28,17.07,7.59,25.71,,,,,,,,,,,,
leg24t1,1,131,82381,56438,54972,68.51,31.85,25.71,6.24,36.16,,,,,,,,,,,,
leg24t1,10,68,62461,40806,39746,65.33,44.04,22.01,10.09,23.86,,,,,,,,,,,,
leg24t1,2,80,78709,52731,51486,66.99,34.45,25.33,6.27,31.16,,,,,,,,,,,,
leg24t1,3,104,94424,63775,62495,67.54,38.54,23.46,7.55,28.82,,,,,,,,,,,,
leg24t1,4,75,76262,51482,50492,67.51,39.84,27.89,5.95,26.22,,,,,,,,,,,,
leg24t1,5,67,70843,42576,41616,60.1,59.14,13.94,7.62,18.7,,,,,,,,,,,,
leg24t1,6,75,75753,50321,49435,66.43,38.38,28.49,7.56,23.45,,,,,,,,,,,,
leg24t1,7,70,68539,45277,44271,66.06,39.25,23.13,8.79,28.83,,,,,,,,,,,,
leg24t1,8,53,51214,28618,27383,55.88,59.67,12.23,6.62,21.48,,,,,,,,,,,,
