code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,eu_left,eu_ctr,eu_lr,eu_rn
95002,Ableiges,1,1,355,228,224,64.23,31.25,10.71,3.57,48.66
95002,Ableiges,2,1,343,230,224,67.06,22.77,14.29,7.59,49.55
95008,Aincourt,1,1,559,323,315,57.78,20.32,12.06,9.84,49.52
95011,Ambleville,1,1,308,170,166,55.19,22.29,15.06,4.22,48.8
95012,Amenucourt,1,1,141,88,88,62.41,18.18,10.23,3.41,53.41
95014,Andilly,1,6,710,386,377,54.37,29.71,14.85,12.2,36.87
95014,Andilly,2,6,805,473,470,58.76,28.94,21.7,14.68,28.51
95018,Argenteuil,1,5,810,373,367,46.05,56.4,9.26,4.9,25.07
95018,Argenteuil,2,5,909,472,463,51.93,59.83,10.8,4.75,16.85
95018,Argenteuil,3,5,776,385,373,49.61,58.45,8.31,3.22,21.18
95018,Argenteuil,4,5,907,427,421,47.08,54.87,9.5,9.26,21.38
95018,Argenteuil,5,5,1127,479,472,42.5,57.63,7.42,4.45,24.36
95018,Argenteuil,6,5,1074,435,427,40.5,64.17,6.56,3.04,20.37
95018,Argenteuil,7,5,791,319,314,40.33,57.01,8.28,3.18,24.52
95018,Argenteuil,8,5,955,423,418,44.29,61.24,11.0,4.78,16.51
95018,Argenteuil,9,5,926,396,392,42.76,58.42,11.73,4.08,19.9
95018,Argenteuil,10,5,1195,585,577,48.95,54.77,10.4,4.51,22.36
95018,Argenteuil,11,5,1014,483,475,47.63,53.05,15.58,6.11,18.11
95018,Argenteuil,12,5,1282,627,615,48.91,56.59,12.2,5.04,20.98
95018,Argenteuil,13,5,1011,566,560,55.98,51.25,14.29,6.43,22.5
95018,Argenteuil,14,5,858,342,336,39.86,48.81,5.06,2.68,35.71
95018,Argenteuil,15,5,876,329,324,37.56,60.8,6.48,2.78,19.75
95018,Argenteuil,16,5,1019,381,375,37.39,58.4,5.33,0.8,29.33
95018,Argenteuil,17,5,1082,514,499,47.5,57.52,7.01,5.41,23.85
95018,Argenteuil,18,5,1223,465,453,38.02,51.43,8.61,3.09,30.91
95018,Argenteuil,19,5,1326,574,563,43.29,55.24,12.79,3.55,22.91
95018,Argenteuil,20,5,1149,536,523,46.65,56.79,12.43,5.16,20.27
