code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,left,ctr,rgt,far
95002,Ableiges,0001,1,376,229,207,60.9,46.86,53.14,0.0,0.0
95002,Ableiges,0002,1,346,174,157,50.29,38.85,61.15,0.0,0.0
95008,Aincourt,0001,1,571,287,258,50.26,46.51,53.49,0.0,0.0
95011,Ambleville,0001,1,307,158,141,51.47,49.65,50.35,0.0,0.0
95012,Amenucourt,0001,1,148,74,64,50.0,50.0,50.0,0.0,0.0
95014,Andilly,0001,6,725,348,317,48.0,37.22,62.78,0.0,0.0
95014,Andilly,0002,6,782,432,407,55.24,28.5,71.5,0.0,0.0
95018,Argenteuil,0001,5,786,339,317,43.13,55.84,44.16,0.0,0.0
95018,Argenteuil,0002,5,891,452,430,50.73,61.16,38.84,0.0,0.0
95018,Argenteuil,0003,5,780,364,352,46.67,54.83,45.17,0.0,0.0
95018,Argenteuil,0004,5,903,397,376,43.96,56.91,43.09,0.0,0.0
95018,Argenteuil,0005,5,1122,436,414,38.86,65.46,34.54,0.0,0.0
95018,Argenteuil,0006,5,1068,407,381,38.11,66.93,33.07,0.0,0.0
95018,Argenteuil,0007,5,767,289,278,37.68,60.79,39.21,0.0,0.0
95018,Argenteuil,0008,5,924,395,375,42.75,61.6,38.4,0.0,0.0
95018,Argenteuil,0009,5,886,378,369,42.66,55.83,44.17,0.0,0.0
95018,Argenteuil,0010,5,1155,507,476,43.9,59.24,40.76,0.0,0.0
95018,Argenteuil,0011,5,979,454,432,46.37,46.99,53.01,0.0,0.0
95018,Argenteuil,0012,5,1209,484,455,40.03,55.16,44.84,0.0,0.0
95018,Argenteuil,0013,5,980,457,437,46.63,49.2,50.8,0.0,0.0
95018,Argenteuil,0014,5,833,251,236,30.13,72.03,27.97,0.0,0.0
95018,Argenteuil,0015,5,835,281,268,33.65,76.49,23.51,0.0,0.0
95018,Argenteuil,0016,5,999,345,322,34.53,80.12,19.88,0.0,0.0
95018,Argenteuil,0017,5,1059,414,396,39.09,63.38,36.62,0.0,0.0
95018,Argenteuil,0018,5,1180,417,393,35.34,64.12,35.88,0.0,0.0
95018,Argenteuil,0019,5,1259,475,450,37.73,61.11,38.89,0.0,0.0
95018,Argenteuil,0020,5,1098,451,432,41.07,61.81,38.19,0.0,0.0
95018,Argenteuil,0021,5,1064,440,422,41.35,51.42,48.58,0.0,0.0
95018,Argenteuil,0022,5,1088,411,379,37.78,65.96,34.04,0.0,0.0
95018,Argenteuil,0023,5,1168,518,485,44.35,52.37,47.63,0.0,0.0
95018,Argenteuil,0024,5,1041,405,386,38.9,52.07,47.93,0.0,0.0
95018,Argenteuil,0025,5,1037,405,381,39.05,58.01,41.99,0.0,0.0
95018,Argenteuil,0026,5,1169,497,469,42.51,46.27,53.73,0.0,0.0
95018,Argenteuil,0027,5,1118,501,460,44.81,41.74,58.26,0.0,0.0
95018,Argenteuil,0028,5,1312,381,363,29.04,81.82,18.18,0.0,0.0
95018,Argenteuil,0029,5,1084,354,343,32.66,80.47,19.53,0.0,0.0
95018,Argenteuil,0030,5,952,306,282,32.14,77.66,22.34,0.0,0.0
95018,Argenteuil,0031,5,1041,314,299,30.16,75.25,24.75,0.0,0.0
95018,Argenteuil,0032,5,1149,406,388,35.34,79.9,20.1,0.0,0.0
95018,Argenteuil,0033,5,1332,415,401,31.16,76.56,23.44,0.0,0.0
95018,Argenteuil,0034,5,1107,424,406,38.3,59.11,40.89,0.0,0.0
95018,Argenteuil,0035,5,1120,344,331,30.71,74.92,25.08,0.0,0.0
95018,Argenteuil,0036,5,894,347,330,38.81,73.64,26.36,0.0,0.0
95018,Argenteuil,0037,5,1110,419,394,37.75,64.21,35.79,0.0,0.0
95018,Argenteuil,0038,5,1161,367,353,31.61,75.64,24.36,0.0,0.0
95018,Argenteuil,0039,5,862,337,326,39.1,70.86,29.14,0.0,0.0
95018,Argenteuil,0040,5,926,311,291,33.59,60.14,39.86,0.0,0.0
95018,Argenteuil,0041,5,1358,401,388,29.53,75.0,25.0,0.0,0.0
95018,Argenteuil,0042,5,1138,369,361,32.43,65.65,34.35,0.0,0.0
95018,Argenteuil,0043,5,1034,380,364,36.75,60.16,39.84,0.0,0.0
95018,Argenteuil,0044,5,969,348,335,35.91,69.85,30.15,0.0,0.0
95018,Argenteuil,0045,5,1317,442,430,33.56,65.81,34.19,0.0,0.0
95018,Argenteuil,0046,5,1026,361,352,35.19,65.34,34.66,0.0,0.0
95018,Argenteuil,0047,5,1204,426,408,35.38,70.1,29.9,0.0,0.0
95018,Argenteuil,0048,5,1290,531,499,41.16,61.72,38.28,0.0,0.0
95018,Argenteuil,0049,5,1273,488,469,38.33,63.33,36.67,0.0,0.0
95018,Argenteuil,0050,5,1018,363,339,35.66,61.36,38.64,0.0,0.0
95019,Arnouville,0001,8,1026,406,376,39.57,44.15,55.85,0.0,0.0
95019,Arnouville,0002,8,936,397,384,42.41,53.91,46.09,0.0,0.0
95019,Arnouville,0003,8,1252,515,477,41.13,40.46,59.54,0.0,0.0
95019,Arnouville,0004,8,1108,387,364,34.93,54.4,45.6,0.0,0.0
95019,Arnouville,0005,8,1041,393,367,37.75,43.05,56.95,0.0,0.0
95019,Arnouville,0006,8,1123,469,439,41.76,46.01,53.99,0.0,0.0
95019,Arnouville,0007,8,1221,454,430,37.18,35.12,64.88,0.0,0.0
95023,Arronville,0001,1,472,236,210,50.0,32.86,67.14,0.0,0.0
95024,Arthies,0001,1,191,109,100,57.07,44.0,56.0,0.0,0.0
95026,Asnières-sur-Oise,0001,2,871,401,363,46.04,45.18,54.82,0.0,0.0
95026,Asnières-sur-Oise,0002,2,689,369,335,53.56,45.97,54.03,0.0,0.0
95026,Asnières-sur-Oise,0003,2,635,277,246,43.62,46.75,53.25,0.0,0.0
95028,Attainville,0001,7,1210,539,480,44.55,45.0,55.0,0.0,0.0
95039,Auvers-sur-Oise,0001,1,1093,633,586,57.91,44.54,55.46,0.0,0.0
95039,Auvers-sur-Oise,0002,1,1117,523,477,46.82,45.28,54.72,0.0,0.0
95039,Auvers-sur-Oise,0003,1,881,486,451,55.16,41.91,58.09,0.0,0.0
95039,Auvers-sur-Oise,0004,1,939,464,425,49.41,45.88,54.12,0.0,0.0
95039,Auvers-sur-Oise,0005,1,634,356,329,56.15,39.21,60.79,0.0,0.0
95039,Auvers-sur-Oise,0006,1,572,293,274,51.22,37.59,62.41,0.0,0.0
95040,Avernes,0001,1,662,346,324,52.27,35.8,64.2,0.0,0.0
95042,Baillet-en-France,0001,2,1529,727,660,47.55,39.7,60.3,0.0,0.0
95046,Banthelu,0001,1,102,54,47,52.94,31.91,68.09,0.0,0.0
95051,Beauchamp,0001,3,689,341,317,49.49,38.8,61.2,0.0,0.0
95051,Beauchamp,0002,3,780,397,365,50.9,43.01,56.99,0.0,0.0
95051,Beauchamp,0003,3,809,448,427,55.38,38.17,61.83,0.0,0.0
95051,Beauchamp,0004,3,640,342,319,53.44,36.05,63.95,0.0,0.0
95051,Beauchamp,0005,3,840,353,332,42.02,43.07,56.93,0.0,0.0
95051,Beauchamp,0006,3,771,361,335,46.82,42.09,57.91,0.0,0.0
95051,Beauchamp,0007,3,849,423,396,49.82,39.65,60.35,0.0,0.0
95051,Beauchamp,0008,3,814,417,384,51.23,41.41,58.59,0.0,0.0
95052,Beaumont-sur-Oise,0001,1,1160,470,424,40.52,64.15,35.85,0.0,0.0
95052,Beaumont-sur-Oise,0002,1,1195,542,494,45.36,51.82,48.18,0.0,0.0
95052,Beaumont-sur-Oise,0003,1,1057,495,451,46.83,60.98,39.02,0.0,0.0
95052,Beaumont-sur-Oise,0004,1,981,398,373,40.57,54.42,45.58,0.0,0.0
95052,Beaumont-sur-Oise,0005,1,1237,459,433,37.11,66.97,33.03,0.0,0.0
