code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,pr_left,pr_macron,pr_pec,pr_lepen,pr_zem,pr_other
95002,Ableiges,1,1,389,333,327,85.6,24.46,17.13,23.85,20.8,0.0,13.76
95002,Ableiges,2,1,350,301,293,86.0,20.82,18.43,24.57,28.33,0.0,7.85
95008,Aincourt,1,1,571,477,464,83.54,23.92,20.69,19.18,27.8,0.0,8.41
95011,Ambleville,1,1,285,241,232,84.56,23.71,17.24,21.98,29.31,0.0,7.76
95012,Amenucourt,1,1,160,130,127,81.25,22.83,11.02,19.69,39.37,0.0,7.09
95014,Andilly,1,6,758,638,621,84.17,23.67,23.35,27.7,20.13,0.0,5.15
95014,Andilly,2,6,776,686,672,88.4,12.65,32.14,35.71,12.65,0.0,6.85
95018,Argenteuil,1,5,855,573,562,67.02,39.86,23.49,14.77,17.44,0.0,4.45
95018,Argenteuil,2,5,858,672,659,78.32,44.31,28.22,11.99,9.41,0.0,6.07
95018,Argenteuil,3,5,827,643,627,77.75,36.36,27.27,16.59,15.47,0.0,4.31
95018,Argenteuil,4,5,934,684,671,73.23,40.09,23.25,18.03,13.26,0.0,5.37
95018,Argenteuil,5,5,1193,884,856,74.1,44.04,24.07,12.15,13.67,0.0,6.07
95018,Argenteuil,6,5,1149,808,785,70.32,48.66,19.75,9.81,16.43,0.0,5.35
95018,Argenteuil,7,5,893,650,636,72.79,41.98,29.4,9.91,13.68,0.0,5.03
95018,Argenteuil,8,5,962,705,686,73.28,43.59,25.51,12.54,12.68,0.0,5.69
95018,Argenteuil,9,5,824,597,585,72.45,43.08,27.18,12.82,11.97,0.0,4.96
95018,Argenteuil,10,5,1166,896,877,76.84,39.22,26.91,12.43,15.85,0.0,5.59
95018,Argenteuil,11,5,1036,823,807,79.44,31.35,24.66,19.95,15.99,0.0,8.05
95018,Argenteuil,12,5,1225,963,946,78.61,39.85,27.17,12.9,15.01,0.0,5.07
95018,Argenteuil,13,5,1077,836,823,77.62,34.39,25.27,19.08,12.88,0.0,8.38
95018,Argenteuil,14,5,889,668,646,75.14,47.21,18.27,8.05,20.74,0.0,5.73
95018,Argenteuil,15,5,839,609,593,72.59,44.69,22.6,9.78,14.33,0.0,8.6
95018,Argenteuil,16,5,1090,698,674,64.04,51.34,16.47,3.71,23.89,0.0,4.6
95018,Argenteuil,17,5,1075,816,794,75.91,42.07,21.79,14.86,14.23,0.0,7.05
95018,Argenteuil,18,5,1201,864,843,71.94,46.26,19.57,8.66,19.81,0.0,5.69
95018,Argenteuil,19,5,1219,957,932,78.51,43.88,24.57,11.48,13.09,0.0,6.97
95018,Argenteuil,20,5,1147,851,833,74.19,39.98,25.93,13.33,14.29,0.0,6.48
