code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,pr2_macron,pr2_lepen
95002,Ableiges,0001,1,368,298,274,80.98,56.2,43.8
95002,Ableiges,0002,1,338,265,245,78.4,57.14,42.86
95008,Aincourt,0001,1,559,446,406,79.79,48.03,51.97
95011,Ambleville,0001,1,305,241,221,79.02,48.87,51.13
95012,Amenucourt,0001,1,154,120,110,77.92,36.36,63.64
95014,Andilly,0001,6,717,520,486,72.52,65.23,34.77
95014,Andilly,0002,6,787,628,585,79.8,74.7,25.3
95018,Argenteuil,0001,5,772,491,455,63.6,74.51,25.49
95018,Argenteuil,0002,5,884,621,556,70.25,77.7,22.3
95018,Argenteuil,0003,5,777,542,499,69.76,73.55,26.45
95018,Argenteuil,0004,5,893,581,542,65.06,73.8,26.2
95018,Argenteuil,0005,5,1110,661,599,59.55,67.61,32.39
95018,Argenteuil,0006,5,1076,652,580,60.59,73.79,26.21
95018,Argenteuil,0007,5,770,467,425,60.65,72.24,27.76
95018,Argenteuil,0008,5,918,596,546,64.92,76.19,23.81
95018,Argenteuil,0009,5,868,564,523,64.98,78.39,21.61
95018,Argenteuil,0010,5,1143,747,679,65.35,70.69,29.31
95018,Argenteuil,0011,5,966,660,595,68.32,75.63,24.37
95018,Argenteuil,0012,5,1202,783,712,65.14,72.33,27.67
95018,Argenteuil,0013,5,977,692,641,70.83,72.85,27.15
95018,Argenteuil,0014,5,821,481,434,58.59,59.91,40.09
95018,Argenteuil,0015,5,822,467,415,56.81,71.57,28.43
95018,Argenteuil,0016,5,993,549,484,55.29,61.78,38.22
95018,Argenteuil,0017,5,1051,679,621,64.61,73.91,26.09
95018,Argenteuil,0018,5,1171,686,624,58.58,68.11,31.89
95018,Argenteuil,0019,5,1242,803,734,64.65,72.62,27.38
95018,Argenteuil,0020,5,1100,700,641,63.64,74.73,25.27
95018,Argenteuil,0021,5,1062,716,675,67.42,73.48,26.52
95018,Argenteuil,0022,5,1088,632,578,58.09,71.45,28.55
95018,Argenteuil,0023,5,1159,796,724,68.68,68.23,31.77
95018,Argenteuil,0024,5,1044,681,617,65.23,73.91,26.09
95018,Argenteuil,0025,5,1034,689,640,66.63,69.22,30.78
