key,left_leg24,centre_leg24,right_leg24,far_right_leg24,left_leg22,centre_leg22,right_leg22,far_right_leg22,left_leg17,centre_leg17,right_leg17,far_right_leg17,left_pres22,centre_pres22,right_pres22,far_right_pres22,left_euro24,centre_euro24,right_euro24,far_right_euro24,winner_t2_24,proj_left,proj_rn,margin_left,scenario
0101,24.15,11.68,23.96,40.22,2.78,19.3,25.35,27.76,22.72,33.89,26.78,15.46,16.86,0.0,0.0,0.0,28.72,13.98,7.72,44.3,RIGHT,37.9,51.1,-13.2,bastion_rn
0102,24.63,24.21,9.37,41.79,1.34,26.42,15.98,29.45,19.19,35.9,24.52,19.08,17.47,0.0,0.0,0.0,29.19,14.82,7.92,43.48,CENTRE,41.8,49.0,-7.2,bastion_rn
0103,25.97,32.43,6.82,33.55,6.42,30.15,17.98,20.63,19.6,45.3,21.41,11.2,20.65,0.0,0.0,0.0,34.51,17.53,7.21,34.93,CENTRE,47.3,41.0,6.3,bascule_possible
0104,21.04,21.87,10.93,46.01,7.47,25.74,17.06,31.67,17.17,43.35,16.68,20.51,14.5,0.0,0.0,0.0,24.92,14.43,7.96,47.61,FAR_RIGHT,37.2,53.4,-16.2,bastion_rn
0105,26.45,11.71,21.88,39.96,0.78,0.0,45.9,26.68,19.03,25.13,35.0,17.13,20.92,0.0,0.0,0.0,28.84,12.02,6.76,46.26,FAR_RIGHT,39.6,50.0,-10.4,bastion_rn
0201,20.57,22.83,0.0,55.9,0.0,23.4,17.4,38.68,25.99,28.79,16.2,27.53,15.31,0.0,0.0,0.0,20.7,11.68,6.1,55.6,T1_WIN,34.3,59.3,-25.0,bastion_rn
0202,16.05,0.0,35.66,48.29,1.55,11.52,35.91,31.51,23.61,0.0,36.48,27.0,17.29,0.0,0.0,0.0,20.31,11.73,7.47,55.08,RIGHT,26.0,61.8,-35.8,bastion_rn
0203,39.48,0.0,0.0,60.52,0.0,0.0,12.17,39.36,36.62,18.1,15.22,29.41,13.48,0.0,0.0,0.0,15.89,9.98,5.76,61.64,T1_WIN,39.5,60.5,-21.0,bastion_rn
0204,21.59,22.19,0.0,56.21,0.0,22.77,12.83,40.19,26.79,28.07,20.2,23.22,17.58,0.0,0.0,0.0,21.05,11.44,5.55,56.74,T1_WIN,34.9,59.5,-24.6,bastion_rn
0205,21.08,20.73,5.11,53.07,2.31,31.93,4.86,40.7,17.33,44.45,8.17,27.53,17.19,0.0,0.0,0.0,22.04,11.52,6.34,54.26,T1_WIN,34.9,58.1,-23.2,bastion_rn
